mainMenu.default	Default
mainMenu.difficult	Hardcore
mainMenu.settings	Settings
mainMenu.exit	Exit
mainMenu.music	Music
mainMenu.sound	Sounds
mainMenu.controller	Controls	
mainMenu.1_player	1//player
mainMenu.2_player	2//players
mainMenu.3_player	3//players
mainMenu.4_player	4//players
mainMenu.back	Back
characterMenu.name	Name
characterMenu.type	Type
characterMenu.color	Color
characterMenu.whatName	What//is//your//name,//bro?
characterMenu.press	Player//#0/npress//any//key
characterMenu.go	Let's//go!
dropColor.none	<Color>
dropColor.red	Red
dropColor.violet	Violet
dropColor.aqua	Aqua
dropColor.yellow	Yellow
dropColor.lg	Green
dropColor.lime	Lime
dropColor.blue	Blue
dropColor.white	White
dropColor.black	Black
dropColor.pink	Pink
dropColor.mil_blue	cam.Blue
dropColor.mil_green	cam.Green
dropColor.mil_red	cam.Red
dropType.none	<Type>
dropType.attack	Attacker
dropType.defend	Defender
dropType.booster	Supplier
dropType.jugger	Juggernault
dropType.esq	Esquire
characterMenu.player	Player//#0
title.tanks	TANKS
title.brotanks	BROtanks
pause.pause	Pause
pause.continue	Continue
pause.main	Main//menu
pause.exit	Exit
highScore.top	Top
highScore.player	Player
highScore.points	Score
highScore.rank	Rank
highScore.over	Game//Over
highScore.ourTop	Best//players
highScore.exit	Exit
highScore.main	Main//menu
canvas.enemies	Enemies//left:
canvas.lives	Lives:
canvas.lvl	Stage
score.hi	Hi-score
score.stage	Stage
score.player	Player//#0
score.total	TOTAL:
score.bonus	Bonus//score:
score.ourBro	Our//best//of//the//best//is
rank.0	Recruit
rank.1	Soldier
rank.2	Senior//Soldier
rank.3	Junior//sergeant
rank.4	Sergeant
rank.5	Senior//Sergeant
rank.6	Chief//Sergeant
rank.7	Staff//Sergeant
rank.8	Master//Sergeant
rank.9	Senior//Master//Sergeant
rank.10	Chief//Master//Sergeant
rank.11	Junior//lieutenant
rank.12	Lieutenant
rank.13	Senior//Lieutenant
rank.14	Captain
rank.15	Major
rank.16	Lieutenant//colonel
rank.17	Colonel
rank.18	Brigadier//general
rank.19	Major//general
rank.20	Lieutenant//general
rank.21	Colonel//general
rank.22	General//of//Army
levelCompleate	LEVEL/nCOMPLEATE
gameOver	GAME/nOVER
level	Level
