mainMenu.default	Стандарт
mainMenu.difficult	Хардкор
mainMenu.settings	Настройки
mainMenu.exit	Выход
mainMenu.music	Музыка
mainMenu.sound	Звуки
mainMenu.controller	Управление
mainMenu.1_player	1//игрок
mainMenu.2_player	2//игрока
mainMenu.3_player	3//игрока
mainMenu.4_player	4//игрока
mainMenu.back	Назад
characterMenu.name	Имя
characterMenu.type	Тип//танка
characterMenu.color	Цвет
characterMenu.whatName	_____
characterMenu.press	Игрок//#0/nнажми//кнопку
characterMenu.go	Погнали!
dropColor.none	<Цвет>
dropColor.red	Красный
dropColor.violet	Фиолетовый
dropColor.aqua	Бирюзовый
dropColor.yellow	Желтый
dropColor.lg	Зелёный
dropColor.lime	Салатовый
dropColor.blue	Синий
dropColor.white	Белый
dropColor.black	Чёрный
dropColor.pink	Розовый
dropColor.mil_blue	кам.Синий
dropColor.mil_green	кам.Зелёный
dropColor.mil_red	кам.Красный
dropType.none	<Тип>
dropType.attack	Атакующий
dropType.defend	Защитник
dropType.booster	Снабженец
dropType.jugger	Джаггернаут
dropType.esq	Эсквайр
characterMenu.player	Игрок//#0
title.tanks	ТАНЧИКИ
title.brotanks	BROтанчики
pause.pause	Пауза
pause.continue	Продолжить
pause.main	Главное//меню
pause.exit	Выход
highScore.top	Топ
highScore.player	Игрок
highScore.points	Очки
highScore.rank	Звание
highScore.over	Конец//игры
highScore.ourTop	Наши//ТОПчики
highScore.exit	Выход
highScore.main	Главное//меню
canvas.enemies	Врагов//осталось:
canvas.lives	Жизни:
canvas.lvl	Уровень:
score.hi	Рекорд:
score.stage	Уровень
score.player	Игрок//#0
score.total	Всего:
score.bonus	Бонус:
score.ourBro	Наш//ТОПовый//BROтанчик//-
rank.0	Рекрут
rank.1	Солдат
rank.2	Ст.солдат
rank.3	мл.Сержант
rank.4	Сержант
rank.5	Ст.Сержант
rank.6	Глав.Сержант
rank.7	Штаб-сержант
rank.8	Мастер-сержант
rank.9	Ст.Мастер-сержант
rank.10	Глав.Мастер-сержант
rank.11	мл.Лейтенант
rank.12	Лейтенант
rank.13	Ст.Лейтенант
rank.14	Капитан
rank.15	Майор
rank.16	Лейтенант-полковник
rank.17	Полковник
rank.18	Бригадный//генерал
rank.19	Генерал-майор
rank.20	Генерал-лейтенант
rank.21	Генерал-полковник
rank.22	Генерал//Армии
levelCompleate	УРОВЕНЬ/nПРОЙДЕН
gameOver	КОНЕЦ/nИГРЫ
level	Уровень
