mainMenu.default	Звичайний	
mainMenu.difficult	Складний	
mainMenu.settings	Налаштування	
mainMenu.exit	Вихід
mainMenu.music	Музика
mainMenu.sound	Звуки
mainMenu.controller	Керування
mainMenu.1_player	1//гравець
mainMenu.2_player	2//гравця
mainMenu.3_player	3//гравця
mainMenu.4_player	4//гравця
mainMenu.back	Назад
characterMenu.name	Ім'я
characterMenu.type	Тип//танка	
characterMenu.color	Колір
characterMenu.whatName	_____
characterMenu.press	Гравець//#0/nнатисни//кнопку
characterMenu.go	Гайда!
dropColor.none	<Колір>
dropColor.red	Червоний
dropColor.violet	Фіолетовий
dropColor.aqua	Бірюзовий
dropColor.yellow	Жовтий
dropColor.lg	Зелений
dropColor.lime	Салатовий
dropColor.blue	Синій
dropColor.white	Білий
dropColor.black	Чорний
dropColor.pink	Рожевий
dropColor.mil_blue	кам.Синій
dropColor.mil_green	кам.Зелений
dropColor.mil_red	кам.Червоний
dropType.none	<Тип>
dropType.attack	Атакуючий
dropType.defend	Захисник
dropType.booster	Постачальник
dropType.jugger	Джагернаут
dropType.esq	Есквайр
characterMenu.player	Гравець//#0
title.tanks	ТАНЧИКИ
title.brotanks	BROтанчики
pause.pause	Пауза
pause.continue	Продовжити
pause.main	Головне//меню
pause.exit	Вихід
highScore.top	Топ
highScore.player	Гравець
highScore.points	Рахунок
highScore.rank	Звання
highScore.over	Кінець//гри
highScore.ourTop	Наші//ТОПчики
highScore.exit	Вихід
highScore.main	Головне//меню
canvas.enemies	Ворогів//залишилось:
canvas.lives	Життя:
canvas.lvl	Рівень:
score.hi	Рекорд:
score.stage	Рівень
score.player	Гравець//#0
score.total	ЗАГАЛОМ:
score.bonus	БОНУС:
score.ourBro	Наш//найшановніший//BROтанчик//-
rank.0	Рекрут
rank.1	Солдат
rank.2	Ст.солдат
rank.3	мол.Сержант
rank.4	Сержант
rank.5	Ст.Сержант
rank.6	Голов.Сержант
rank.7	Штаб-сержант
rank.8	Майстер-сержант
rank.9	Ст.Майстер-сержант
rank.10	Голов.Майстер-сержант
rank.11	мол.Лейтенант
rank.12	Лейтенант
rank.13	Ст.Лейтенант
rank.14	Капітан
rank.15	Майор
rank.16	Лейтенант-полковник
rank.17	Полковник
rank.18	Бригадний//генерал
rank.19	Генерал-майор
rank.20	Генерал-лейтенант
rank.21	Генерал-полковник
rank.22	Генерал//Армії
levelCompleate	РІВЕНЬ/nЗАВЕРШЕНО
gameOver	КІНЕЦЬ/nГРИ
level	Рівень
